epoch,train_acc,active_set.labelled,active_set.n_augmented_images_labelled,active_set.n_unaugmented_images_labelled,len(active_set)
0,0.854499101638794,[False False False ... False False False],676,374,3150
1,0.8477633595466614,[False False False ... False False False],710,390,3300
2,0.852463960647583,[False False False ... False False False],746,404,3450
3,0.8679220676422119,[False False False ... False False False],776,424,3600
4,0.8575774431228638,[False False False ... False False False],807,443,3750
5,0.8628178238868713,[False False False ... False False False],840,460,3900
6,0.8695477247238159,[False False False ... False False False],877,473,4050
7,0.8640912175178528,[False False False ... False False False],905,495,4200
8,0.8572443127632141,[False False False ... False False False],938,512,4350
9,0.8480392098426819,[False False False ... False False False],968,532,4500
10,0.8554521203041077,[False False False ... False False False],998,552,4650
11,0.8568493127822876,[False False False ... False False False],1026,574,4800
12,0.859375,[False False False ... False False False],1057,593,4950
13,0.8647543787956238,[False False False ... False False False],1087,613,5100
14,0.8581379652023315,[False False False ... False False False],1117,633,5250
15,0.8664772510528564,[False False False ... False False False],1142,658,5400
16,0.8582963943481445,[False False False ... False False False],1175,675,5550
17,0.8690219521522522,[False False False ... False False False],1205,695,5700
18,0.8699371218681335,[False False False ... False False False],1234,716,5850
19,0.8800836205482483,[False False False ... False False False],1268,732,6000
20,0.878490686416626,[False False False ... False False False],1301,749,6150
21,0.8704662919044495,[False False False ... False False False],1323,777,6300
22,0.8810052871704102,[False False False ... False False False],1352,798,6450
23,0.8781628012657166,[False False False ... False False False],1381,819,6600
24,0.8768116235733032,[False False False ... False False False],1414,836,6750
25,0.8837084770202637,[False False False ... False False False],1444,856,6900
26,0.8745369911193848,[False False False ... False False False],1476,874,7050
27,0.8786481618881226,[False False False ... False False False],1506,894,7200
28,0.8719444274902344,[False False False ... False False False],1536,914,7350
29,0.8769145011901855,[False False False ... False False False],1569,931,7500
30,0.8822251558303833,[False False False ... False False False],1599,951,7650
31,0.8773437738418579,[False False False ... False False False],1631,969,7800
32,0.8720542788505554,[False False False ... False False False],1659,991,7950
33,0.8756096363067627,[False False False ... False False False],1686,1014,8100
34,0.8745078444480896,[False False False ... False False False],1715,1035,8250
35,0.881251871585846,[False False False ... False False False],1747,1053,8400
36,0.8839116096496582,[False False False ... False False False],1776,1074,8550
37,0.8812966346740723,[False False False ... False False False],1802,1098,8700
38,0.8833212852478027,[False False False ... False False False],1833,1117,8850
39,0.883172869682312,[False False False ... False False False],1860,1140,9000
40,0.8797650933265686,[False False False ... False False False],1887,1163,9150
41,0.8836174011230469,[False False False ... False False False],1912,1188,9300
42,0.8780068755149841,[False False False ... False False False],1942,1208,9450
43,0.8841638565063477,[False False False ... False False False],1970,1230,9600
44,0.8707291483879089,[False False False ... False False False],2000,1250,9750
45,0.8847522139549255,[False False False ... False False False],2033,1267,9900
46,0.8832324743270874,[False False False ... False False False],2056,1294,10050
47,0.886904776096344,[False False False ... False False False],2084,1316,10200
48,0.8863963484764099,[False False False ... False False False],2113,1337,10350
49,0.878003716468811,[False False False ... False False False],2142,1358,10500
